DC_AMC4	SCTIMST(DC AMC)	Released	SREE CHITRA TIRUNAL INSTITUTE FOR MEDICAL SCIENCES & TECHNOL
SI_AMC9	Server Consolidation & Data Center	Released	INTERNATIONAL ADVANCED RESEARCH CENTRE FOR POWDER METALLURGY
SP_PROF_SER2	Server Rental Charges	Released	ESAF SMALL FINANCE BANK
CPSO85	SI of Artificial Intelligence Lab	Released	Mahatma Gandhi University
SI_IMP9	SI of SDN switches	Released	KERALA UNIVERSITY OF DIGITAL SCIENCES, INNOVATION AND TECHNO
SI_AMC67	SI_AMC- Elgi network	Released	Elgi Equipment Limited
SI_SUP197	SI- Supply - 250448	Released	V Link Systems (P) Ltd
SI_SUP195	SI- Supply - 250449	Released	DIGITAL IT INFRA PRIVATE LIMITED
SI_SUP105	Siemens - HPE Lights-Out License -240152	Released	Siemens Technology and Services Pvt Ltd
CPSO551	Siemens - HPE Smart Array-240098	Released	Siemens Technology and Services Pvt Ltd
CPSO758	Siemens - Movement - 250372	Released	Siemens Healthcare Private Limited
SI_IMP41	Siemens - Pune Aker N/w implementation	Released	Siemens Technology and Services Pvt Ltd
SP_IMP44	Siemens - Wireless imp - 240424	Released	Siemens Limited (Maharashtra)
SP_IMP43	Siemens - Wireless imp - 240426	Released	Siemens Technology and Services Pvt Ltd.
SI_SUP207	Siemens -260103 - BLR to MAA	Released	Siemens Technology and Services Pvt Ltd.
SI_SUP208	Siemens -260104- BLR to Pune	Released	Siemens Technology and Services Pvt Ltd.
SI_IMP191	Siemens -260105- SITC of Server	Released	Siemens Technology and Services Pvt Ltd
SP_AMC3	Siemens Healthcare Private Limited	Released	Siemens Healthcare Private Limited
SI_AMC24	Siemens Healthcare Pvt ltd -230516	Released	Siemens Healthcare Private Limited
DC_CON22	Siemens Kalwa Data Center	Released	Siemens Limited (Maharashtra)
SP_IMP20	Siemens Technology and service Pvt ltd	Released	Siemens Technology and Services Pvt Ltd
SP_IMP19	Siemens Technology and Service pvt ltd	Released	Siemens Technology and Services Pvt Ltd.
SI_SUP43	Siemens Technology and Services Pvt Ltd	Released	Siemens Technology and Services Pvt Ltd
SP_IMP18	Siemens Technology and Services Pvt Ltd	Released	Siemens Technology and Services Pvt Ltd
SI_AMC32	Siemens- ADV Aruba AMC renewal	Released	Siemens Technology and Services Pvt Ltd.
SI_IMP46	Siemens- Amer apex 230689	Released	Siemens Technology and Services Pvt Ltd
SI_CON10	Siemens- L2 Resource N/W Sec-250013	Released	Siemens Technology and Services Pvt Ltd.
SI_IMP139	Siemens- RF1- Advanta - 240684	Released	Siemens Technology and Services Pvt Ltd.
SI_IMP104	SII of EndPoint DMS	Released	DEPARTMENT OF TREASURIES - Kerala
SI_IMP111	SITC - IP Telephone with 2 SIP Lines	Released	Networks
SI_IMP138	SITC - Wipro GE - Active&passive Comp	Released	Wipro GE Healthcare Private Limited
CPSO108	SITC of Camera Speakers with LAN cabling	Released	KERALA UNIVERSITY OF FISHERIES & OCEAN STUDIES
SI_IMP97	SITC of cisco switch-240150	Released	Malnad College of Engineering
SI_IMP57	SITC of IT, Non IT Infra with Cloud DR	Released	REConnect Energy Solutions Ltd.
SP_IMP35	SITC of Network Switches	Released	KERALA UNIVERSITY OF DIGITAL SCIENCES, INNOVATION AND TECHNO
